"Time (s)","Illuminance (lx)"
7.807990708E0,3.983100000E4
7.847984263E0,3.076100000E4
7.887975552E0,3.134900000E4
7.927958599E0,2.980300000E4
7.967932349E0,2.819300000E4
8.007905591E0,2.638300000E4
8.047875435E0,1.949200000E4
8.087852974E0,1.957700000E4
8.127827193E0,1.748300000E4
8.167788638E0,1.525700000E4
8.207754029E0,1.532700000E4
8.247718248E0,2.003100000E4
8.287690123E0,1.983200000E4
8.327656919E0,2.997000000E4
8.367619771E0,3.820800000E4
8.407568677E0,4.755400000E4
8.447520435E0,5.456700000E4
8.487498208E0,5.265500000E4
8.527464068E0,5.894700000E4
8.567431294E0,6.119800000E4
8.607404888E0,6.362600000E4
8.647378287E0,6.804100000E4
8.687347388E0,6.620100000E4
8.727319380E0,7.199900000E4
8.767282505E0,1.763840000E5
8.807246919E0,2.783800000E5
8.847223169E0,3.778850000E5
8.887194810E0,4.763860000E5
8.927200396E0,3.779020000E5
8.967213130E0,4.754420000E5
9.007221490E0,4.756030000E5
9.047206294E0,3.773200000E5
9.087198287E0,3.791440000E5
9.127197701E0,2.792710000E5
9.167181099E0,2.768440000E5
9.207152583E0,1.772830000E5
9.247130982E0,7.471000000E4
9.287109537E0,7.701600000E4
9.327086060E0,7.342300000E4
9.367077623E0,6.891800000E4
9.407051099E0,6.589200000E4
9.447017271E0,5.683900000E4
9.486994146E0,5.697100000E4
9.526960396E0,5.547800000E4
9.566941373E0,4.937000000E4
9.606919029E0,4.826700000E4
9.646900943E0,4.325000000E4
9.726841958E0,4.494700000E4
9.766809224E0,4.532200000E4
9.846741451E0,4.627700000E4
9.886702271E0,4.667900000E4
9.926680513E0,4.525100000E4
9.966650201E0,4.563100000E4
1.000664044E1,4.776400000E4
1.004661360E1,4.834600000E4
1.008659294E1,4.741700000E4
1.012657692E1,4.991800000E4
1.016654583E1,5.375200000E4
1.020652438E1,5.635600000E4
1.024648626E1,5.981300000E4
1.028644653E1,5.841900000E4
1.032641555E1,5.765300000E4
1.036637438E1,5.685300000E4
1.040633059E1,5.664300000E4
1.044628704E1,5.511200000E4
1.052623626E1,5.500400000E4
1.056619016E1,5.644400000E4
1.060616946E1,5.662800000E4
1.064615145E1,5.628700000E4
1.068612731E1,5.688000000E4
1.072610122E1,5.655700000E4
1.076606262E1,5.286600000E4
1.080602020E1,5.310700000E4
1.084599344E1,4.494100000E4
1.092591696E1,4.213200000E4
1.096588200E1,4.065300000E4
